店名,住所,区名,評価,コメント数,保存数,営業時間,定休日,予算,個室有無,席数,駐車場有無
らぁ麺や 嶋,渋谷区本町3-41-12,渋谷区,3.99,1176,89843,[月〜金]9:30頃～16:00(売り切れ次第終了),[月〜金]9:30頃～16:00(売り切れ次第終了),"￥1,000～￥1,999",無,6席,無
宍道湖しじみ中華蕎麦 琥珀 東京本店,大田区西六郷2-1-3,大田区,3.98,1061,52943,［ 平日 ］11:30 〜 15:00 L.O,［ 平日 ］11:30 〜 15:00 L.O,"￥1,000～￥1,999",無,5席,無
むかん,中野区中央2-2-24 大江戸コーポ 1F,中野区,3.97,347,23558,営業時間やメニューは日によって変わりますのでX（旧Twitter）にて確認お願い致しますX（旧Twitter）から予約宜しくお願いいたします,営業時間やメニューは日によって変わりますのでX（旧Twitter）にて確認お願い致しますX（旧Twitter）から予約宜しくお願いいたします,"￥1,000～￥1,999",無,5席,無
Ramen FeeL（ラーメンフィール）,青梅市梅郷4-695-1,青梅市,3.96,642,37258,11:00～15:00 [土・日・祝]11:00～16:00,11:00～15:00 [土・日・祝]11:00～16:00,"￥1,000～￥1,999",有,21席,有
中華そば しば田,調布市若葉町2-25-20,調布市,3.95,2189,96200,［月火水金土］11:00～15:0017:30〜20:00［木曜日］11:00〜15:00,［月火水金土］11:00～15:0017:30〜20:00［木曜日］11:00〜15:00,"￥1,000～￥1,999",無,8席,無
Homemade Ramen 麦苗,品川区南大井6-11-10,品川区,3.95,1876,93772,11:00～15:30＊注＊午前9時頃からウェイティングボードが店頭に出ますので注意書きをよく確認の上、記名し、指定された集合時刻に戻ってくるシステムです。一人で複数人数分の席も取れます。,11:00～15:30＊注＊午前9時頃からウェイティングボードが店頭に出ますので注意書きをよく確認の上、記名し、指定された集合時刻に戻ってくるシステムです。一人で複数人数分の席も取れます。,"￥1,000～￥1,999",無,8席,無
ジャパニーズ ラーメン 五感（Japanese Ramen 五感）,豊島区東池袋2-57-2 コスモ東池袋 101,豊島区,3.95,490,34935,11:30～15:00,11:30～15:00,"￥1,000～￥1,999",無,8席,無
メヂカそば 吟魚,日野市石田2-9-1,日野市,3.94,327,7409,11:00～14:30(L.O.)※スープ売切れ次第閉店,11:00～14:30(L.O.)※スープ売切れ次第閉店,"￥1,000～￥1,999",有,6席,有
銀座 八五,中央区銀座3-14-2 第一はなぶさビル 1F,中央区,3.93,1733,149508,11:00～ 当日の並び順でのご案内※当日分のスープがなくなり次第受付を終了いたします。12:30～ ご予約者様のご案内,11:00～ 当日の並び順でのご案内※当日分のスープがなくなり次第受付を終了いたします。12:30～ ご予約者様のご案内,"￥1,000～￥1,999",無,6席,無
入鹿TOKYO 六本木（イルカトウキョウ）,港区六本木4-12-12 穂高ビル 1F,港区,3.93,1315,51145,[火～日]11:00～21:00(L.O.20:50),[火～日]11:00～21:00(L.O.20:50),"￥1,000～￥1,999",無,12席,無
麺処 しろくろ（SOBA-Shiro Kuro）,杉並区上高井戸1-1-7,杉並区,3.93,682,24928,,,～￥999,無,6席,無
麺屋 さくら井,武蔵野市西久保2-15-27,武蔵野市,3.92,1409,55917,[火・木・金]11:30～15:00[日]11:30～16:00[月・土]11:30～15:0018:00～20:30,[火・木・金]11:30～15:00[日]11:30～16:00[月・土]11:30～15:0018:00～20:30,～￥999,無,9席,無
入鹿TOKYO（IRUCA-Tokyo- 入鹿東京）,東久留米市本町1-4-28,東久留米市,3.92,473,21750,[月]　11:00～15:00＊店内営業[火～日]　11:00～15:00＊テイクアウトのみ,[月]　11:00～15:00＊店内営業[火～日]　11:00～15:00＊テイクアウトのみ,～￥999,無,8席,無
